"X.1","X","id","text","coder1.Sentiment....1.negative..0.neutral..1.positive.","coder1.Political...0.no..1.yes.","coder1.Ideology....1.liberal..0.neutral..1.conservative.","coder1.Immigration","coder1.Macroeconomic.Policy...Taxes..Gov..Spending..Wall.St...Jobs..Trade..Infrastructure..Labor.","coder1.National.Security..Veterans..Military..Foreign.Terrorism.","coder1.Crime...Law.Enforcement..Police..Guns..Second.Amendment.","coder1.Civil.Rights..Race..LGBT.issues..Abortion..Gender.issues.","coder1.Environment...Energy..Global.warming..Fracking..Agriculture..Oil.","coder1.Education","coder1.Health.Care..Obamacare.","coder1.Governance","coder1.No.Policy.Content","coder1.Asks.for.Donation.Asks.you.to.buy.something.to.support.campaign","coder1.Asks.you.to.watch.something.share.something.follow.something","coder1.Misc..other.plea.for.action","coder1.Expresses.an.Opinion","coder1.coder","coder2.Sentiment....1.negative..0.neutral..1.positive.","coder2.Political...0.no..1.yes.","coder2.Ideology....1.liberal..0.neutral..1.conservative.","coder2.Immigration","coder2.Macroeconomic.Policy...Taxes..Gov..Spending..Wall.St...Jobs..Trade..Infrastructure..Labor.","coder2.National.Security..Veterans..Military..Foreign.Terrorism.","coder2.Crime...Law.Enforcement..Police..Guns..Second.Amendment.","coder2.Civil.Rights..Race..LGBT.issues..Abortion..Gender.issues.","coder2.Environment...Energy..Global.warming..Fracking..Agriculture..Oil.","coder2.Education","coder2.Health.Care..Obamacare.","coder2.Governance","coder2.No.Policy.Content","coder2.Asks.for.Donation.Asks.you.to.buy.something.to.support.campaign","coder2.Asks.you.to.watch.something.share.something.follow.something","coder2.Misc..other.plea.for.action","coder2.Expresses.an.Opinion","coder2.coder","src","created_at","coder.y","X1.x","id.x","id.y","hashtag.","at.","link","retweets","favorites","full.URL","source","date"
11,1038,7.13E+017,"RT @leedanielsent: #ImWithHer because @HillaryClinton knows we're #StillFighting for full LGBT equality. https://t.co/ThBQy2h9Qg",1,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"brittany",1,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"lauryn","brittanylauryn","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
12,1078,7.11E+017,"RT @TomNocera: The Reagan Trump images are inspiring. The #silentmajority sense something better for America is coming in #Trump2016 http:/",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,"brittany",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,"lauryn","brittanylauryn","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
13,1141,6.44E+017,"Humbled &amp; honored by the overflow crowds @ the Pizza Ranch in Ottumwa, #Iowa this morning! #ImWithHuck http://t.co/CAYkSFO5nz",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,"brittany",1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"lauryn","brittanylauryn","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
14,1239,6.64E+017,"RT @IE4Bernie: One hour until stay and this house is getting packed! #bernie2016 #bernieinla #FeelTheBern http://t.co/eiqvZrSdZl",1,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"brittany",1,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"lauryn","brittanylauryn","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
15,1250,6.96E+017,"This account will be run by campaign staff from now onbut youll still see tweets from Hillary. Theyll be signed -H.",0,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"brittany",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"lauryn","brittanylauryn","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
16,1270,6.56E+017,"Looking forward to joining @jaketapper and @TheLeadCNN today at 4:30pm ET. Tune to hear about our plan to help hardworking families!",1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,"brittany",1,1,-1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,"lauryn","brittanylauryn","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
17,1349,7E+017,"Photo Gallery: The First 100 Days of the Bernie Sanders Presidential Campaign https://t.co/GmUpCr4HUd",1,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"brittany",0,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"lauryn","brittanylauryn","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
18,1382,6.4E+017,"RT @KevinBingle: BREAKING: The @BostonGlobe @GlobeOpinion endorses Gov. @JohnKasich for President! #Kasich4Us https://t.co/17F5ad9blX",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"brittany",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"lauryn","brittanylauryn","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
19,1406,7.08E+017,"At the Citadel for my speech on foreign policy and the threat presented by radical Islamic terrorism. - SW http://t.co/diYU87JMhf",-1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"brittany",-1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"lauryn","brittanylauryn","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
20,1409,6.85E+017,"There are some things in Washington we need to burn down. Read more here ---&gt; http://t.co/tuj6JCDuEM",-1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,"brittany",-1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,"lauryn","brittanylauryn","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
21,1428,6.54E+017,"RT @jaketapper: On #TheLead: House GOP chaos; law enforcement warns of terrorism; @GovChristie interview; Trump in Vegas; Clinton feeling t",-1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"brittany",-1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"lauryn","brittanylauryn","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
22,1481,6.23E+017,"RT @FoxNews: .@RandPaul: ""We think we're going to do very well in Iowa with the liberty vote."" #GOPDebate https://t.co/gdsNV17n9U",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,"brittany",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"lauryn","brittanylauryn","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
23,1516,6.42E+017,"Little Marco Rubio treated America's ICE officers ""like absolute trash"" in order to pass Obama's amnesty. https://t.co/gm2wurLjFz",-1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"brittany",-1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"lauryn","brittanylauryn","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
24,1556,6.46E+017,"RT @MVBarnhill: Two local High School Seniors ready to start working for @MartinOMalley #NewLeadership #MOMentum http://t.co/LRE4POZVIx",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"brittany",1,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"lauryn","brittanylauryn","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
25,1631,7.47E+017,"RT @OutFrontCNN: .@GovernorPataki to fellow GOP candidates: 'Stand up to Trump' @CNN's @joejohnscnn has more: http://t.co/OeNACklVJq http:/",-1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"brittany",0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,"lauryn","brittanylauryn","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
26,1635,6.45E+017,"#VotersFirst has begun! Tune into the @UnionLeader forum on @cspan http://t.co/57IMF5R4Aw",1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,"brittany",1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,"lauryn","brittanylauryn","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
27,1639,5.92E+017,"RT @HillaryforSC: We need to raise wages for the lowest paid jobs in Americawhich are disproportionately held by women, especially women",0,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"brittany",-1,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"lauryn","brittanylauryn","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
28,1692,5.92E+017,"How does it happen that every major country on earth guarantees health care to all of their people as a right except the United States?",-1,1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,"brittany",-1,1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,"lauryn","brittanylauryn","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
29,1735,6.66E+017,"Donald Trump no es el nico que tiene ideas retrogradas acerca de la inmigracin. https://t.co/1nqc0gn8rh",-1,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"brittany",-1,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"lauryn","brittanylauryn","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
30,1818,6.52E+017,"#VoteTrump video: https://t.co/NauXRQ2Q91
#AZPrimary #ArizonaPrimary #UtahCaucus #UTCaucus #AmericanSamoa https://t.co/bKruyYHFma",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"brittany",0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"lauryn","brittanylauryn","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
31,1951,6.25E+017,"Looking forward to joining @foxandfriends in a few minutes! Tune in http://t.co/UvJ2kyJZJ7",1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,"brittany",1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,"lauryn","brittanylauryn","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
32,1972,7.2E+017,"Education is the bedrock of Americas success. It is the
foundation of what truly makes our country the Land of
Opportunity. #ReviveEdu",0,1,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"brittany",1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"lauryn","brittanylauryn","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
33,2029,6.37E+017,"Ill be talking with @seanhannity on @FoxNews tonight at 10 PM ET. Hope youll tune in.",1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,"brittany",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"lauryn","brittanylauryn","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
34,2050,6.26E+017,"If youre proud to stand with Hillary all the way to the White House, chip in $1 to help her get there: https://t.co/GoyF7nhTCs",1,1,-1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,"brittany",1,1,-1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,"lauryn","brittanylauryn","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
35,2057,6.45E+017,"51% of the kids in our public schools are eligible for free or reduced cost lunches. We need to raise wages to lift families out of poverty.",0,1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"brittany",0,1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"lauryn","brittanylauryn","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
36,2087,6.88E+017,"RT @TIME: How Chris Christie's years as a prosecutor prepared him to run for President  https://t.co/v1Ib2mXirj https://t.co/fI4KVe8zLr",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"brittany",0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"lauryn","brittanylauryn","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
37,2160,6.41E+017,"RT @larry_kudlow: No 10-year boots on the ground to defeat ISIS. Destroy ISIS training camps. They're coming for us. @GovernorPataki @77WAB",-1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"brittany",-1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"lauryn","brittanylauryn","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
38,2198,6.44E+017,"RT @cedarville: .@RealBenCarson will hold rally here on campus next Tues 9/22. Ticket info at http://t.co/2SOiOGcw1h http://t.co/sbNwRFNmY4",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"brittany",0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"lauryn","brittanylauryn","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
39,2206,6.45E+017,"I delivered on my promises in WI and on #DayOne, Im ready to deliver on my promises to America. My promises --&gt; http://t.co/n4zCEfc6M5 -SW",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"brittany",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"lauryn","brittanylauryn","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
40,2274,6.76E+017,"Carly Fiorina is terrible at business--the last thing our country needs! http://t.co/n7lO0llhK8",-1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,"brittany",-1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,"lauryn","brittanylauryn","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
41,2379,7.01E+017,"Race for Speaker is not about Paul Ryan or Kevin McCarthy, the American people are fed-up &amp; it's time for Washington to wake-up.",-1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"brittany",-1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,"lauryn","brittanylauryn","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
42,2385,6.46E+017,"RT @rbecker51:   "" ""         ""  "" .    https://",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"brittany",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,"lauryn","brittanylauryn","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
43,2420,7.04E+017,"I was the only one to stand up to Trumps chaotic, irresponsible foreign policy at the debate. See top moments here: https://t.co/Yk7imWdwxV",-1,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"brittany",-1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,"lauryn","brittanylauryn","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
44,2452,5.99E+017,"Then why did you contribute thousands of dollars to her? https://t.co/wd6UCZSEd2",-1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,"brittany",-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,"lauryn","brittanylauryn","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
45,2505,6.47E+017,"He put up a good fight but my winning streak is intact #FITN http://t.co/s7iVpReFIW",0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,"brittany",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"lauryn","brittanylauryn","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
46,2575,6.2E+017,"Great recap video from the Milford Labor Day Parade, Salem GOP Picnic &amp; BBQ with @SenScottBrown #Kasich4Us
https://t.co/66gV4l2L5t",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,"brittany",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,"lauryn","brittanylauryn","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
47,2582,6.29E+017,"After my speech tomorrow I'll be using Periscope to live stream a bit of my Facebook q&amp;a. Leave your question https://t.co/8I7BSS10ok",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"brittany",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"lauryn","brittanylauryn","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
48,2676,6.46E+017,"Sad to hear the news about President Carter. Will be praying for him and his family.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"brittany",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"lauryn","brittanylauryn","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
49,2795,6.66E+017,"US State Dept has sent N Korea a TWEET appealing to its sense of international obligation. It may work, if Kim Jong-Un dies of laughter.",-1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"brittany",-1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"lauryn","brittanylauryn","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
50,2798,7.06E+017,"We're gonna make a political revolution and we're gonna transform America. #IACaucus https://t.co/GzbOrGa3Ow",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"brittany",1,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"lauryn","brittanylauryn","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
51,2866,6.28E+017,"If I am elected president, we will NOT be drafting our daughters into combat #GOPTownHall https://t.co/m8sc5RhzdN",1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"brittany",0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"lauryn","brittanylauryn","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
52,2922,6.31E+017,"RT @billmckibben: This guy @BernieSanders appears to have supporters in western Ma. Fun to be #feelingthebern in Springfield http://t.co/W2",1,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"brittany",1,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,"lauryn","brittanylauryn","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
53,2982,6.67E+017,"We shouldnt reward those who came to this country illegally:
https://t.co/C5c7x4ST2d",-1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,"brittany",-1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"lauryn","brittanylauryn","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
54,2992,6.25E+017,"RT @RitaCosby: Can't wait to have @GovernorPataki on my @77WABCradio show tomorrow AM now that he's officially running for President! @Gpat",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"brittany",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"lauryn","brittanylauryn","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
55,3025,6.52E+017,"For those with a question as to ""secret service"" protection, neither my team nor I are in the habit of commenting on security.",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"brittany",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"lauryn","brittanylauryn","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
56,3031,7.13E+017,"Change is coming. In January of 2017, we will have a new president. #IAFaithForum",0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"brittany",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"lauryn","brittanylauryn","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
57,3068,7.01E+017,"Great video on the debate tonight from supporter @BritWilson63 ! Send yours in to us using #standwithrand https://t.co/bvrOJY880a",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,"brittany",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,"lauryn","brittanylauryn","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
58,3071,7.12E+017,"RT @t_willy2: First time voting tomorrow, I'll be voting for the future #POTUS @marcorubio #Marcomentum",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"brittany",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"lauryn","brittanylauryn","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
59,3125,6.93E+017,"""@realOllieTaylor: @paintonmy: IA caucus hasn't picked nominee in 16 years! Cruz dirty tricks stole it. Trump way ahead in primary states.",-1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"brittany",-1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"lauryn","brittanylauryn","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
60,3236,6.64E+017,"Ill be on @FoxNews tonight with @megynkelly for #KellyFile at 9pm. Tune in!",1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,"brittany",1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,"lauryn","brittanylauryn","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
61,3283,6.05E+017,"RT @healerhauler: #Students4Carson at our University of Alabama Debate Watch Party are all in for Ben! #RollTideRoll
https://t.co/mlwETG6eEJ",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"brittany",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"lauryn","brittanylauryn","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
62,3310,6.93E+017,"RT @FaceTheNation: @RandPaul says Hillary Clinton is partially responsible for refugee crisis http://t.co/vqorCYyz56",-1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"brittany",-1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"lauryn","brittanylauryn","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
