,text,id,created_at,coder1.Sentiment....1.negative..0.neutral..1.positive.,coder1.Political...0.no..1.yes.,coder1.Ideology....1.liberal..0.neutral..1.conservative.,coder1.Immigration,coder1.Macroeconomic.Policy...Taxes..Gov..Spending..Wall.St...Jobs..Trade..Infrastructure..Labor.,coder1.National.Security..Veterans..Military..Foreign.Terrorism.,coder1.Crime...Law.Enforcement..Police..Guns..Second.Amendment.,coder1.Civil.Rights..Race..LGBT.issues..Abortion..Gender.issues.,coder1.Environment...Energy..Global.warming..Fracking..Agriculture..Oil.,coder1.Education,coder1.Health.Care..Obamacare.,coder1.Governance,coder1.No.Policy.Content,coder1.Asks.for.Donation.Asks.you.to.buy.something.to.support.campaign,coder1.Asks.you.to.watch.something.share.something.follow.something,coder1.Misc..other.plea.for.action,coder1.Makes.a.Factual.or.Verifiable.Claim,coder1.Expresses.an.Opinion,coder1.coder,coder2.Sentiment....1.negative..0.neutral..1.positive.,coder2.Political...0.no..1.yes.,coder2.Ideology....1.liberal..0.neutral..1.conservative.,coder2.Immigration,coder2.Macroeconomic.Policy...Taxes..Gov..Spending..Wall.St...Jobs..Trade..Infrastructure..Labor.,coder2.National.Security..Veterans..Military..Foreign.Terrorism.,coder2.Crime...Law.Enforcement..Police..Guns..Second.Amendment.,coder2.Civil.Rights..Race..LGBT.issues..Abortion..Gender.issues.,coder2.Environment...Energy..Global.warming..Fracking..Agriculture..Oil.,coder2.Education,coder2.Health.Care..Obamacare.,coder2.Governance,coder2.No.Policy.Content,coder2.Asks.for.Donation.Asks.you.to.buy.something.to.support.campaign,coder2.Asks.you.to.watch.something.share.something.follow.something,coder2.Misc..other.plea.for.action,coder2.Makes.a.Factual.or.Verifiable.Claim,coder2.Expresses.an.Opinion,coder.y,src
11,.@stltoday: Editorial: We recommend @HillaryClinton for the Democratic nomination https://t.co/C09oC3sLyn,765238384252088320,3/7/2016 22:30:32,1,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,brittany,1,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,christian,brittanychristian
12,".@thenation: Why Im Supporting @HillaryClinton, With Joy and Without Apologies https://t.co/0mikLC3QSt",677485661646028800,1/28/2016 21:15:58,1,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,brittany,1,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,christian,brittanychristian
13,"""A lot of women in this state were encouraged by what they saw in @HillaryClinton."" https://t.co/YQgYwpFuLO",659531382104981504,10/27/2015 21:17:07,1,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,brittany,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,christian,brittanychristian
14,"""Bad strategy, poorly run campaign..""
""Some Rubio advisers say get out before Florida""
""...strategy isnt adding up""
https://t.co/TBjN60ssVV",643450445416038400,3/8/2016 17:48:38,-1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,brittany,-1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,christian,brittanychristian
15,"""Nation needs a leader not just of ideas but w experience, capability &amp; promise to work across the political divide"" https://t.co/eRq9DAb1ww",692818421772349440,1/29/2016 18:43:07,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,brittany,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,christian,brittanychristian
16,@CruzingJohn @LodiSilverado @maxlydic https://t.co/BAlNA7bPOf,780433463673585664,1/15/2016 6:27:56,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,brittany,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,christian,brittanychristian
17,@Everyvote4trump help @realDonaldTrump #BuildTheWall https://t.co/hgBen5kCWz,767835751413190656,9/9/2016 16:35:22,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,brittany,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,christian,brittanychristian
18,@HillaryClinton thinks it's time to stop price gouging on old prescription drugs. #ImWithHer https://t.co/dpMO1F4hoE,781175625650438144,9/2/2016 21:15:08,1,1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,brittany,-1,1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,christian,brittanychristian
19,@mmrogers004 @Campaign_Trump @SenTedCruz Ted Cruz released his birth certificate to the Dallas Morning News back in 2013. Catch up.,592477358818340864,3/11/2016 16:50:56,-1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,brittany,-1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,christian,brittanychristian
20,@SandraTXAS help @realDonaldTrump #BuildTheWall https://t.co/hgBen5kCWz,761242855977394176,9/18/2016 4:58:31,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,brittany,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,christian,brittanychristian
21,@tedcruz @SenTedCruz #Cruz2016 #CruzCrew Dad! http://t.co/eUknyQzRvo,684736302655250432,6/21/2015 8:24:21,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,brittany,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,christian,brittanychristian
22,#ICYMI @ChrisChristie has taken a hard stance against social security http://t.co/ZTWQp5M1fL #cnndebate,718557542075355136,9/17/2015 2:40:52,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,brittany,-1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,christian,brittanychristian
23,"#News Civil rights museum denies Trump visit request - ""Their approach was disrespectful, so therefore we did n... https://t.co/UFG28QPouP",644283353517191168,9/26/2016 15:46:52,-1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,brittany,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,christian,brittanychristian
24,#News Trump on birther announcement: 'I wanted to get on with the campaign' https://t.co/G1xONmuEaO,661346540267642880,9/22/2016 15:46:04,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,brittany,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,christian,brittanychristian
25,"#NSA 
#CruzCrew https://t.co/h62KZGXuCR",696177613371379712,4/23/2015 23:03:11,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,brittany,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,christian,brittanychristian
26,"#Tolerancia ? Tolerant Not
http://t.co/q7CC5OJlyL
http://t.co/EX5Ch39d44
https://t.co/06dz5IFOhJ

#CruzCrew http://t.co/4T1uswoIzV",677835758107930624,4/25/2015 3:23:37,-1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,brittany,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,christian,brittanychristian
27,#TrumpLies https://t.co/Kor0XqHTiY,693520131595448320,8/14/2016 0:59:08,-1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,brittany,-1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,christian,brittanychristian
28,#VoteForHillary because she would make straw purchasing a federal crime. https://t.co/GLTTRufIVH https://t.co/ISaABxECOT,598876642044325888,2/27/2016 20:50:07,-1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,brittany,-1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,christian,brittanychristian
29,A #Trump-Pence administration would gravely threaten access to reproductive healthcare #StandWithPP https://t.co/XlaqYvXK5Z,628406876116353024,9/10/2016 16:32:06,-1,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,brittany,-1,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,christian,brittanychristian
30,A vote for @CarlyFiorina is a vote for you! Remeber to vote for Carly tomorrow #JoinTheSurge,690975174749884416,2/8/2016 22:30:02,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,brittany,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,christian,brittanychristian
31,"After #Trump's ""worst week,"" things actually got worse. https://t.co/8sLtxqkAAz",708334401763934208,10/3/2016 14:47:40,-1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,brittany,-1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,christian,brittanychristian
32,"Almost everything @realDonaldTrump has ever said, disproved by his own tweets: https://t.co/ZTLzs3QtsJ",666740010880770048,9/30/2016 20:55:01,-1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,brittany,-1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,christian,brittanychristian
33,Apparently the answers to @SteveKingIA's prayers are extreme right-wing policies https://t.co/QCNFDmbSFV,687997675296313344,11/17/2015 22:09:40,-1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,brittany,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,christian,brittanychristian
34,"ATTN @GOP: ""You can't call a man a fascist while promising to support him"" if he gets nomination: https://t.co/91jCawnDIx via @jonathanchait",771369725582512128,12/8/2015 16:02:03,-1,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,brittany,-1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,christian,brittanychristian
35,Breaking News: Jerry Falwell Jr To Appear With Donald #Trump At #Iowa Rally Tonight https://t.co/oIwqtXZlbU #imwithtrump #trumptrain,757912209146142720,1/30/2016 19:44:19,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,brittany,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,christian,brittanychristian
36,Democrat operatives like Patti Solis Doyle fear one candidate: Marco Rubio. #fitn https://t.co/6ryLnqt42M https://t.co/n6yYketYRi,692740331712954368,1/26/2016 0:13:18,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,brittany,-1,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,christian,brittanychristian
37,Disregard what the pundits and talking heads are saying today. America chose Ben last night. #onenation #winbenwin http://t.co/LNlSVhiJjZ,692874166026915840,9/17/2015 13:51:10,-1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,brittany,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,christian,brittanychristian
38,"Enough of the talk! Vote 4 a candidate who has a record of creating jobs &amp; economic growth. @JohnKasich. #Kasich4Us
https://t.co/ho4NrFtEqX",774646642599403520,3/2/2016 15:29:46,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,brittany,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,christian,brittanychristian
39,First of all I'm delighted to be here my family is here and my granddaughter who is 3 years old is here so that's cool,591078011614597120,11/11/2015 2:07:57,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,brittany,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,christian,brittanychristian
40,"From the Director of Social Media for Win Ben Win 
Text ""rain check"" to 888-222 for a free chipotle burrito https://t.co/5rtZiPtxK9",644340213796487168,2/8/2016 19:25:16,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,brittany,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,christian,brittanychristian
41,"GOP: We can do better.
https://t.co/TKuTR0sw7d",692824693586395136,4/8/2016 21:54:02,-1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,brittany,-1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,christian,brittanychristian
42,"Have you seen our latest #gopecards? 
Check them out here: https://t.co/tAEWKDQShQ",612536522236014592,12/17/2015 13:49:03,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,brittany,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,christian,brittanychristian
43,"Heading into New Hampshire, Republicans are a hot mess: https://t.co/DgIiQ2Nri8 via @joanwalsh #FITN #NHPrimary",768479987641049088,2/9/2016 17:26:13,-1,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,brittany,-1,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,christian,brittanychristian
44,"http://t.co/EX5Ch39d44
http://t.co/VO8SPKY3xp
#CruzCrew 
https://t.co/06dz5IFOhJ
Join US America @Txwench http://t.co/bxBfyGxEWA",701877433620963328,4/24/2015 13:50:43,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,brittany,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,christian,brittanychristian
45,"http://t.co/EX5Ch39d44
https://t.co/2jh2iBTz4r
#CruzCrew Join THE informed CourageousConservatives
#rhodeisland http://t.co/Tze7oq75Gz",780863603507335168,4/28/2015 20:44:22,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,brittany,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,christian,brittanychristian
46,https://t.co/aVDN9LGdUf,674257642747879424,12/15/2015 13:30:02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,brittany,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,christian,brittanychristian
47,https://t.co/bV2rXC9z0y,778983712344203264,9/8/2016 0:00:42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,brittany,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,christian,brittanychristian
48,https://t.co/FLkc5tyLEw,715599186457010176,12/18/2015 13:00:12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,brittany,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,christian,brittanychristian
49,https://t.co/RluxIhOG29,707775904978739200,12/30/2015 15:30:03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,brittany,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,christian,brittanychristian
50,https://t.co/xYKqrLTjJf,682222121422946304,1/6/2016 14:00:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,brittany,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,christian,brittanychristian
51,"I will secure the border, because I know how to do it, @GovernorPerry said at #TimsTownHalls http://t.co/26w9Usxoe1",705052486462124032,8/28/2015 17:00:47,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,brittany,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,christian,brittanychristian
52,ICYMI https://t.co/rr8vxWLzx6,781960563769352192,3/10/2016 3:51:40,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,brittany,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,christian,brittanychristian
53,"If you're a shady donor looking to smear candidates, @NicholasTRyan is your huckleberry! https://t.co/EIX6k5pJac https://t.co/jQUlGPMQPa",637308861616099328,1/28/2016 21:40:53,-1,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,brittany,-1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,christian,brittanychristian
54,"It's another full house for @CarlyFiorina at Cabin Coffee Co. In Mason City, IA #iacaucus #Carly2016 https://t.co/sOkGMc4hsF",593153808621969408,1/30/2016 22:25:51,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,brittany,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,christian,brittanychristian
55,"Jan 2003: #Trump on the Iraq War: We have to  you know, its sort like either do it or dont do it. https://t.co/ZyJdC95RBb (3/7)",696776831114940416,9/27/2016 20:16:05,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,brittany,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,christian,brittanychristian
56,John Dougall &amp; Adrielle Herring are LIVE on the Kate Dalley Show on @theblaze #Carly2016,691775884475375616,12/10/2015 22:40:01,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,brittany,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,christian,brittanychristian
57,"John Owens, former TX Assistant Attorney General, investigated #Trump U. This is what he found: https://t.co/rvEQmLO81E",729788811534696448,9/14/2016 15:06:36,-1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,brittany,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,christian,brittanychristian
58,"Kill terrorists, repeal Obamacare, defend Constitution - what Ted Cruz will do as POTUS #CNNDebate",659116638931845120,9/17/2015 3:04:29,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,brittany,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,christian,brittanychristian
59,"More Republicans say no to #Trump, endorse @HillaryClinton https://t.co/TIJvZJpRhe #StrongerTogether",695717987173662720,9/3/2016 16:33:18,0,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,brittany,-1,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,christian,brittanychristian
60,MT @Karee_news: Hang on it will be the ride of our lives! http://t.co/1mI1ruFrel #CruzCrew #PJNET,707261760030564352,8/4/2015 3:27:29,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,brittany,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,christian,brittanychristian
61,"Must Watch
Join us CourageousConservatives
http://t.co/EX5Ch39d44
https://t.co/06dz5IFOhJ
#CruzCrew  https://t.co/O2PTxcQTFe",644346154101145600,4/23/2015 3:15:54,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,brittany,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,christian,brittanychristian
62,NH volunteer Jean Ver Hoeven shares why she supports @CarlyFiorina in this week's #WhyCarlyWednesday https://t.co/c3G0Qgf0d5 #fitn,659536602591600640,2/4/2016 0:30:02,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,brittany,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,christian,brittanychristian
63,"Our efforts are making a dramatic impact in Iowa. Keep up the good work, Carsonites! http://t.co/9gbsC0i0XN",703308998011961344,10/3/2015 19:21:59,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,brittany,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,christian,brittanychristian
64,"Ovide Lamontage ""@CarlyFiorina is unique in both the way she conducts herself &amp; the positions she advocates"" https://t.co/Ab00WcX0qZ",637005099848572928,1/15/2016 14:00:02,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,brittany,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,christian,brittanychristian
65,"Per @NickBaumann &amp; @HuffPostPo: ""the candidate of the Republican establishment is in big trouble"" 
@marcorubio 
https://t.co/9hCRT6u6fX",780579843012526080,3/2/2016 20:32:05,-1,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,brittany,-1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,christian,brittanychristian
66,READ: @HillaryClinton's plan to invest in the caring economy https://t.co/5ugy3pRnYz,703039692430684160,11/23/2015 21:24:03,0,1,-1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,brittany,0,1,-1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,christian,brittanychristian
67,READ: The most #epic roundup of an epically bad week for @realDonaldTrump https://t.co/nGPIwLgf6y,703683552940920832,8/3/2016 20:03:29,-1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,brittany,-1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,christian,brittanychristian
68,"RT @Acernota: @CarlyFiorina strong prolife message, defunding planned parenthood and support for real women's help and pregnancy centers.@N",664276683386589184,1/23/2016 19:11:34,-1,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,brittany,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,christian,brittanychristian
69,RT @alfranken: It's disappointing Sen Cornyn is willing to waste taxpayer $ on an absurd investigation just to score political pts http://t,664263260410105856,9/16/2015 17:18:47,-1,1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,brittany,-1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,christian,brittanychristian
70,RT @benshapiro: Check out the best anti-Hillary ad of the cycle thus far. Hilarious! https://t.co/Zzo2ICEox7,673622969545981952,8/25/2015 19:23:38,-1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,brittany,-1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,christian,brittanychristian
71,RT @BernieSanders: New Mexico  TOMORROW is the last day to register as a Democrat to vote for the political revolution. Register here: htt,771818768863338496,5/10/2016 0:55:46,0,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,brittany,1,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,christian,brittanychristian
72,RT @BraddJaffy: David Duke gives Trump's immigration speech two thumbs up https://t.co/vK20wW6FdJ,773672373941776384,9/1/2016 2:58:04,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,brittany,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,christian,brittanychristian
73,"RT @CarlHigbie: @realDonaldTrump, lower taxes to create jobs @HillaryClinton thinks raising taxes will build jobs @GreatAmericaPAC #trumpme",644198758260064256,9/27/2016 1:28:31,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,brittany,-1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,christian,brittanychristian
74,RT @CarlyFiorina: It is ridiculous that Fox News would question the pro-life credentials of @RickSantorum. That is outrageous. #GOPDebate,596836502371368960,1/29/2016 0:57:28,-1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,brittany,-1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,christian,brittanychristian
75,"RT @ChipEnglander: .@SenTedCruz tax plan reminds me that ""imitation is the greatest form of flattery.""",636257645385674752,10/29/2015 0:45:09,-1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,brittany,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,christian,brittanychristian
