,text,id.x,coder1.Sentiment....1.negative..0.neutral..1.positive.,coder1.Political...0.no..1.yes.,coder1.Ideology....1.liberal..0.neutral..1.conservative.,coder1.Immigration,coder1.Macroeconomic.Policy...Taxes..Gov..Spending..Wall.St...Jobs..Trade..Infrastructure..Labor.,coder1.National.Security..Veterans..Military..Foreign.Terrorism.,coder1.Crime...Law.Enforcement..Police..Guns..Second.Amendment.,coder1.Civil.Rights..Race..LGBT.issues..Abortion..Gender.issues.,coder1.Environment...Energy..Global.warming..Fracking..Agriculture..Oil.,coder1.Education,coder1.Health.Care..Obamacare.,coder1.Governance,coder1.No.Policy.Content,coder1.Asks.for.Donation.Asks.you.to.buy.something.to.support.campaign,coder1.Asks.you.to.watch.something.share.something.follow.something,coder1.Misc..other.plea.for.action,coder2.Sentiment....1.negative..0.neutral..1.positive.,coder2.Political...0.no..1.yes.,coder2.Ideology....1.liberal..0.neutral..1.conservative.,coder2.Immigration,coder2.Macroeconomic.Policy...Taxes..Gov..Spending..Wall.St...Jobs..Trade..Infrastructure..Labor.,coder2.National.Security..Veterans..Military..Foreign.Terrorism.,coder2.Crime...Law.Enforcement..Police..Guns..Second.Amendment.,coder2.Civil.Rights..Race..LGBT.issues..Abortion..Gender.issues.,coder2.Environment...Energy..Global.warming..Fracking..Agriculture..Oil.,coder2.Education,coder2.Health.Care..Obamacare.,coder2.Governance,coder2.No.Policy.Content,coder2.Asks.for.Donation.Asks.you.to.buy.something.to.support.campaign,coder2.Asks.you.to.watch.something.share.something.follow.something,coder2.Misc..other.plea.for.action,src,id.y,created_at,hashtag.,at.,link,retweets,favorites,full.URL,source,date
19,"""@American1st: @ofccadjust  @AnnCoulter GW Bush was open borders like @JebBush. TERRORISTS CAN COME ACROSS MEXICAN BORDER AT WILL!""",655853353793159168,-1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,655853353793159168,10/18/2015 21:09:59,0,@ofccadjust @AnnCoulter @JebBush,0,0,0,0,realDonaldTrump,10/18/2015 21:09:59
20,"""@CarolBurnett3:  @AnnCoulter I just love the way Ann Coulter remembers your acts of kindness Donald Trump....GO Trump we love you""",691180801900175360,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,691180801900175360,1/24/2016 8:48:39,0,@AnnCoulter,0,1106,3745,0,realDonaldTrump,1/24/2016 8:48:39
21,"""@connie_lee1: @realDonaldTrump @seanhannity @FoxNews Looking forward to a great interview with a great interviewee and a great interviewer!",653708210692603904,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,653708210692603904,10/12/2015 23:05:57,0,@realDonaldTrump @seanhannity @FoxNews,0,0,0,0,realDonaldTrump,10/12/2015 23:05:57
22,"""@dragonian3333:  @DanScavino @seanhannity CRUZ doesn't do anything about ILLEGALS and ""REFUGEES"" invading Texas. https://t.co/usJvsZlb3Y""",676030743609520128,-1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,676030743609520128,12/13/2015 13:27:43,0,@DanScavino @seanhannity,"https://t.co/usJvsZlb3Y""",1359,2478,0,realDonaldTrump,12/13/2015 13:27:43
23,"""@EricTrump: Nevada we are on our way! #VoteTrumpNV #Trump2016 Caucus locator: https://t.co/aUSzSnOzlm https://t.co/bCRelzywxk""",701746070162792448,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,701746070162792448,2/22/2016 12:31:15,#VoteTrumpNV #Trump2016,0,"https://t.co/aUSzSnOzlm https://t.co/bCRelzywxk""",1942,6789,0,realDonaldTrump,2/22/2016 12:31:15
24,"""@iLoveiDevices: @EdwinRo47796972 @happyjack225 @FoxNews @krauthammer  Minimizing dependency on China is crucial.Only Trump talks about that",684217554861199360,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,684217554861199360,1/5/2016 3:39:11,0,@EdwinRo47796972 @happyjack225 @FoxNews @krauthammer,0,1064,3315,0,realDonaldTrump,1/5/2016 3:39:11
25,"""@JodiL792:  You know what's making my Christmas Great, Family/food/friends&amp;YOU! I HAVE MY TRUMP SHIRT ON W/HOPE IN MY HEART for America""",680491214337130496,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,680491214337130496,12/25/2015 20:52:03,0,0,0,960,3883,0,realDonaldTrump,12/25/2015 20:52:03
26,"""@JohnBerman Two explanations on @realDonaldTrump that seem no longer sufficient: 1) It's early.  2) It is all a media creation.""",633737256973414400,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,633737256973414400,8/18/2015 20:28:30,0,@realDonaldTrump,0,0,0,0,realDonaldTrump,8/18/2015 20:28:30
27,"""@KathyTravels777:   @andersoncooper Tonight on CNN @realDonaldTrump was GREAT. Loved the intimacy of conversation w the people""",700562845096804352,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700562845096804352,2/19/2016 6:09:32,0,@andersoncooper @realDonaldTrump,0,2350,6569,0,realDonaldTrump,2/19/2016 6:09:32
28,"""@Latinos4Trump16: @realDonaldTrump @jaketapper @CNN I'll be watching """,675903795218538496,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,675903795218538496,12/13/2015 5:03:17,0,@realDonaldTrump @jaketapper @CNN,0,0,0,0,realDonaldTrump,12/13/2015 5:03:17
29,"""@LukeBrinker: One year from today. https://t.co/TcN6Z3XwyU""",690889964599382016,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,690889964599382016,1/23/2016 13:32:58,0,0,"https://t.co/TcN6Z3XwyU""",3340,7625,0,realDonaldTrump,1/23/2016 13:32:58
30,"""@Momfullofhope @BorderWall @realDonaldTrump rocks it everywhere he goes"" Thanks.",652219937466007552,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,652219937466007552,10/8/2015 20:32:05,0,@BorderWall @realDonaldTrump,0,0,0,0,realDonaldTrump,10/8/2015 20:32:05
31,"""@RealNinjetta @ErinSiegal @AppSame @Univision http://t.co/QNOuFlufaS  My many MEXICAN friends fly to visit Mexico because UNSAFE border""",616671272932655104,-1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,emilyzoe.csv,616671272932655104,7/2/2015 18:14:23,0,@ErinSiegal @AppSame @Univision,http://t.co/QNOuFlufaS,0,0,0,realDonaldTrump,7/2/2015 18:14:23
32,"""@SeanSean252: @WayneDupreeShow @Rockprincess818 @CheriJacobus    https://t.co/5GUwhhtvyN""",668520614697820160,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,668520614697820160,11/22/2015 20:05:09,0,@WayneDupreeShow @Rockprincess818 @CheriJacobus,"https://t.co/5GUwhhtvyN""",8239,10938,0,realDonaldTrump,11/22/2015 20:05:09
33,"""@SoCal4Trump: Wow @megynkelly. You openly LIE about who's ahead in the GOP race. Trump is LEADING in 99% of polls. Shameful... #StopTheLies",662560463037841408,-1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,662560463037841408,11/6/2015 9:21:38,#StopTheLies,@megynkelly,0,987,1780,0,realDonaldTrump,11/6/2015 9:21:38
34,"""@tazz53098: @realDonaldTrump can't wait to watch. #trump for president #saturday night live""",663051304437174272,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,663051304437174272,11/7/2015 17:52:04,#trump #saturday,@realDonaldTrump,0,600,1622,0,realDonaldTrump,11/7/2015 17:52:04
35,"""@The2ndguardsUS: @realDonaldTrump ROLL TIDE""",667855940788572160,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,667855940788572160,11/21/2015 0:03:59,0,@realDonaldTrump,0,586,1366,0,realDonaldTrump,11/21/2015 0:03:59
36,"""@TheVotingVenue: @realDonaldTrump when Fox News tries to push Jeb on their viewers, remind them of this article: http://t.co/x1RqZcMn6q""",619835937611120640,-1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,kennedyeamon.csv,619835937611120640,7/11/2015 11:49:38,0,@realDonaldTrump,"http://t.co/x1RqZcMn6q""",0,0,0,realDonaldTrump,7/11/2015 11:49:38
37,"""@Trump2016Donald: @realDonaldTrump @JebBush @hughhewitt Patriots for trump! https://t.co/0oBFd9pILR""",682499601195253760,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,stankennedy.csv,682499601195253760,12/31/2015 9:52:39,0,@realDonaldTrump @JebBush @hughhewitt,"https://t.co/0oBFd9pILR""",1379,3335,0,realDonaldTrump,12/31/2015 9:52:39
38,"""@TSettles14: I'd be proud to say the first President I voted for was @realDonaldTrump #MakeAmericaGreatAgain""",628706972897050624,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,628706972897050624,8/4/2015 23:19:57,"#MakeAmericaGreatAgain""",@realDonaldTrump,0,0,0,0,realDonaldTrump,8/4/2015 23:19:57
39,"""@valmouw: @realDonaldTrump where are you? I'm already getting bored and it hasn't even started #DemDebate""",654093284147638272,-1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,kennedyeamon.csv,654093284147638272,10/14/2015 0:36:06,"#DemDebate""",@realDonaldTrump,0,0,0,0,realDonaldTrump,10/14/2015 0:36:06
40,"""@waite_lane:If you don't want Trump as president, then you don't want what your great grandfather fought so hard for #MakeAmericaGreatAgain",623673775566024704,-1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,623673775566024704,7/22/2015 1:59:50,#MakeAmericaGreatAgain,0,0,0,0,0,realDonaldTrump,7/22/2015 1:59:50
41,"""Ben Carson talks about his career, his faith and his campaign"" http://t.co/SJLkqu0hch via @TIMEPolitics",649945072763555840,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,649945072763555840,10/2/2015 13:52:35,0,@TIMEPolitics,http://t.co/SJLkqu0hch,0,0,0,RealBenCarson,10/2/2015 13:52:35
42,"""Huckabee wants to preserve the status quo, which pleases older voters but isnt sustainable. via @WiStateJournal https://t.co/KzqGl7SQel",659534096004194304,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,stankennedy.csv,659534096004194304,10/29/2015 0:55:56,0,@WiStateJournal,https://t.co/KzqGl7SQel,13,35,http://host.madison.com/news/opinion/editorial/chris-christie-and-john-kasich-won-gop-debate/article_c692228f-0d8b-5f90-8031-6ebc25e18412.html#ixzz3iTiZPQBg,ChrisChristie,10/29/2015 0:55:56
43,"""I am running to be President to put an end to the Obama-Clinton doctrine."" More LIVE in 20 minutes: http://t.co/HiioU8mMVN",618776580068741120,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,618776580068741120,7/8/2015 13:40:07,0,0,http://t.co/HiioU8mMVN,0,0,http://www.atlanticcouncil.org/events/webcasts/sen-lindsey-graham-on-america-s-role-in-the-world,LindseyGrahamSC,7/8/2015 13:40:07
44,"""I am well aware that this is a political mountain to climb....I will, as your president, never relent on trying to work on this."" -Hillary",650056562594172928,1,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650056562594172928,10/2/2015 21:15:36,0,0,0,0,0,0,HillaryClinton,10/2/2015 21:15:36
45,"""I don't think we can take a risk on a loose cannon like Donald Trump running our country."" Hillary
https://t.co/xcbYMepYdX",7.28E+17,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.28E+17,5/4/2016 22:40:17,0,0,https://t.co/xcbYMepYdX,0,0,0,HillaryClinton,5/4/2016 22:40:17
46,"""I don't think we can take a risk on a loose cannon like Donald Trump running the country."" Hillary to @AndersonCooper",727925197454610432,-1,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,eamonemily.csv,727925197454610432,5/4/2016 18:17:45,0,@AndersonCooper,0,1155,2788,0,HillaryClinton,5/4/2016 18:17:45
47,"""I'm a progressive who gets things done. Cherry-picking a quote here or there doesn't change my record."" Hillary #DemDebate",695431440620650496,-1,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,zoestan.csv,695431440620650496,2/5/2016 2:19:10,#DemDebate,0,0,0,0,0,HillaryClinton,2/5/2016 2:19:10
48,"""Martin O'Malley has done more than any other Democratic candidate to earn the NRA's hatred http://t.co/QMUUwMZGaV @voxdotcom",654304359581413376,1,1,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,654304359581413376,10/14/2015 14:34:50,0,@voxdotcom,http://t.co/QMUUwMZGaV,0,0,http://www.vox.com/2015/10/14/9529949/democratic-debate-nra-guns-martin-omalley,MartinOMalley,10/14/2015 14:34:50
49,"""Rand Paul, The Most Frugal Lawmaker Of Them All""  

Read more here: https://t.co/FuMaUptGOR",616723855399194624,-1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,stankennedy.csv,616723855399194624,7/2/2015 21:43:19,0,0,https://t.co/FuMaUptGOR,0,0,0,RandPaul,7/2/2015 21:43:19
50,"""Sen. Sanders, you're the only one on this stage who voted against the Patriot Act."" - @andersoncooper #DebateWithBernie",654120038857748480,1,1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,654120038857748480,10/14/2015 2:22:24,#DebateWithBernie,@andersoncooper,0,0,0,0,BernieSanders,10/14/2015 2:22:24
51,"""Tenemos que actuar en contra del virus Zika ahora."" Hillary https://t.co/dR1OzE3ZEa",713858982075613184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,713858982075613184,3/26/2016 22:43:38,0,0,https://t.co/dR1OzE3ZEa,451,951,0,HillaryClinton,3/26/2016 22:43:38
52,"""The choice between a healthy environment and a strong economy is a false choice."" #GOPdebate #ReadyToLead #HappyHourDebate",629403422488313856,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,eamonemily.csv,629403422488313856,8/6/2015 21:27:24,#GOPdebate #ReadyToLead #HappyHourDebate,0,0,14,20,0,LindseyGrahamSC,8/6/2015 21:27:24
53,"""The Citizen Equality Act of 2017"" is composed of 3 fundamental reforms https://t.co/HDogcuDfiP #FixDemocracyFirst",641963115538591744,0,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,stankennedy.csv,641963115538591744,9/10/2015 13:15:08,#FixDemocracyFirst,0,https://t.co/HDogcuDfiP,0,0,https://lessig2016.us/the-plan/,Lessig2016,9/10/2015 13:15:08
54,"""There is more to do, and no administration can do it alone. Congress has to be our partner as it has been after previous tragedies.""",657205214357901312,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,657205214357901312,10/22/2015 14:41:48,0,0,0,0,0,0,HillaryClinton,10/22/2015 14:41:48
55,"""There will never be a two state solution where Hamas is part of the process"" #CUFIDECADESTRONG",620650883991257088,-1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,620650883991257088,7/13/2015 17:47:56,#CUFIDECADESTRONG,0,0,6,9,0,LindseyGrahamSC,7/13/2015 17:47:56
56,"""This will be a death sentence for the state of Israel."" #IranDeal @OutnumberedFNC",620990911921569792,-1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,620990911921569792,7/14/2015 16:19:05,#IranDeal,@OutnumberedFNC,0,13,11,0,LindseyGrahamSC,7/14/2015 16:19:05
57,"""We must never underestimate our ability to change the world."" https://t.co/IMC6hGwxld",709914988484366336,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,709914988484366336,3/16/2016 1:31:37,0,0,https://t.co/IMC6hGwxld,0,0,https://twitter.com/JohnKasich/status/709914988484366337/photo/1,JohnKasich,3/16/2016 1:31:37
58,"(2/2)with little support, simply because hes the president who promised to end wars http://t.co/wDxqy8xrwz",654779035029934080,-1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,654779035029934080,10/15/2015 22:01:01,0,0,http://t.co/wDxqy8xrwz,6,4,http://www.lindseygraham.com/2015/10/15/lindsey-graham-statement-on-obamas-decision-to-withdrawal-down-to-5500-troops-in-afghanistan/,LindseyGrahamSC,10/15/2015 22:01:01
59,@CoxPeggycox7 Thank you Peggy!,659874406785662976,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,659874406785662976,10/29/2015 23:28:13,0,@CoxPeggycox7,0,0,0,0,tedcruz,10/29/2015 23:28:13
