,text,id,created_at,coder1.Sentiment....1.negative..0.neutral..1.positive.,coder1.Political...0.no..1.yes.,coder1.Ideology....1.liberal..0.neutral..1.conservative.,coder1.Immigration,coder1.Macroeconomic.Policy...Taxes..Gov..Spending..Wall.St...Jobs..Trade..Infrastructure..Labor.,coder1.National.Security..Veterans..Military..Foreign.Terrorism.,coder1.Crime...Law.Enforcement..Police..Guns..Second.Amendment.,coder1.Civil.Rights..Race..LGBT.issues..Abortion..Gender.issues.,coder1.Environment...Energy..Global.warming..Fracking..Agriculture..Oil.,coder1.Education,coder1.Health.Care..Obamacare.,coder1.Governance,coder1.No.Policy.Content,coder1.Asks.for.Donation.Asks.you.to.buy.something.to.support.campaign,coder1.Asks.you.to.watch.something.share.something.follow.something,coder1.Misc..other.plea.for.action,coder1.Makes.a.Factual.or.Verifiable.Claim,coder1.Expresses.an.Opinion,coder1.coder,coder2.Sentiment....1.negative..0.neutral..1.positive.,coder2.Political...0.no..1.yes.,coder2.Ideology....1.liberal..0.neutral..1.conservative.,coder2.Immigration,coder2.Macroeconomic.Policy...Taxes..Gov..Spending..Wall.St...Jobs..Trade..Infrastructure..Labor.,coder2.National.Security..Veterans..Military..Foreign.Terrorism.,coder2.Crime...Law.Enforcement..Police..Guns..Second.Amendment.,coder2.Civil.Rights..Race..LGBT.issues..Abortion..Gender.issues.,coder2.Environment...Energy..Global.warming..Fracking..Agriculture..Oil.,coder2.Education,coder2.Health.Care..Obamacare.,coder2.Governance,coder2.No.Policy.Content,coder2.Asks.for.Donation.Asks.you.to.buy.something.to.support.campaign,coder2.Asks.you.to.watch.something.share.something.follow.something,coder2.Misc..other.plea.for.action,coder2.Makes.a.Factual.or.Verifiable.Claim,coder2.Expresses.an.Opinion,coder.y,src,X
37,Read about @HillaryClinton's plan to generate $60 billion by battling corporate loopholes: https://t.co/XGhxSmlcEw via @WSJ,674735536607662080,12/9/2015 23:41:02,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,brittany ,1,1,-1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,christopher,brittanychristopher,0
38,"Read this https://t.co/E0BW5VEkXW &amp; when you're mad as hell, sign petition: https://t.co/Ylu0i1XxKJ #DumpDebbie #FireTheChair #FeelTheBern",730107714400075776,5/10/2016 18:50:18,-1,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,brittany ,-1,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,christopher,brittanychristopher,0
39,RT @2PatriotsUSA: @tedcruz45 @PamelaGeller @THETXEMBASSY @LessGovMoreFun Lets pull together &amp; bring the USA back.,596423176587845632,5/7/2015 21:15:40,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,brittany ,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,christopher,brittanychristopher,0
40,RT @BernieSanders: We have the moral responsibility to transform our energy system away from fossil fuels.  https://t.co/YCM1cCmQfM,646798218643304448,9/23/2015 21:28:06,0,1,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,brittany ,0,1,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,christopher,brittanychristopher,0
41,RT @BobPort: Ben Carson gets off the 2nd best line: 'Thank you for not asking me what I said in the 10th grade.' #GOPdebate,664269445578231808,11/11/2015 2:32:32,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,brittany ,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,christopher,brittanychristopher,0
42,RT @brucereddenjr: .@tedcruz backstage at #SCFreedomSummit #Cruz2016 #CruzCrew http://t.co/FD2xp1qgr2,603797339967332352,5/28/2015 5:37:58,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,brittany ,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,christopher,brittanychristopher,0
43,RT @brucereddenjr: .@tedcruz heading into Columbia SC http://t.co/pzmQng5Ilz,603797572658991104,5/28/2015 5:38:53,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,brittany ,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,christopher,brittanychristopher,0
44,"RT @CBSPolitics: ""Believe it or not, China is as concerned about Kim Jong Un as we are"" - @CarlyFiorina #GOPdebate",676971174883127296,12/16/2015 3:44:40,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,brittany ,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,christopher,brittanychristopher,0
45,RT @Doc_0: Cruz: anyone here who would be bound by catastrophic deal with Iran is giving up their authority as Commander in Chief,644310400746553344,9/17/2015 0:42:24,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,brittany ,-1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,christopher,brittanychristopher,0
46,RT @FaithandFreedom: The #RTM2015 list of speakers is growing. @DanPatrick @DavidDBenham @JasonBBenham @edgoeas http://t.co/NHdl2FS3uY,596112293563269120,5/7/2015 0:40:20,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,brittany ,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,christopher,brittanychristopher,0
47,RT @FoxNews: .@CarlyFiorina slams President @BarackObama's strategy to defeat ISIS. https://t.co/MERqvV3ff1,667115897333686272,11/18/2015 23:03:18,-1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,brittany ,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,christopher,brittanychristopher,0
48,RT @foxnewsalert: BREAKING NEWS: Senate passes Iran nuclear review bill http://t.co/ZCwe3oy1mG,596391234463137792,5/7/2015 19:08:45,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,brittany ,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,christopher,brittanychristopher,0
49,"RT @FTR__Radio: ""Today we have another President from Illinois in the White House...and that's where the similarity ends.""  @GovernorPerry",629678156270698496,8/7/2015 15:39:05,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,brittany ,-1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,christopher,brittanychristopher,0
50,RT @gerfingerpoken2: @tedcruz45 1944 - The IRS and FFRF vs. the Church: My piece on American Thinker.  http://t.co/TCpTBU5fXk,595394055627902976,5/5/2015 1:06:19,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,brittany ,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,christopher,brittanychristopher,0
51,"RT @HillaryClinton: Caught your speech, @realDonaldTrump. About that ""woman's card""...
https://t.co/kKaHWISchy",725329118531870720,4/27/2016 14:21:52,-1,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,brittany ,-1,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,christopher,brittanychristopher,0
52,"RT @IStandWithTed: @tedcruz @SenTedCruz @tedcruz45

If #God is for us, who can be against us?#Romans8:31
 
#Constitution #1A #faith http",599587642599034880,5/16/2015 14:50:08,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,brittany ,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,christopher,brittanychristopher,0
53,"RT @jstines3: Iran holding Marine Amir Hekmati hostage; therefore, Iran is holding our very FLAG! 

#FreeAmirNow
#PJNET http://t.co/Rq3Dkhp",591228992742535168,4/23/2015 13:15:51,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,brittany ,-1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,christopher,brittanychristopher,0
54,RT @JustinJCMyers: Wow. Bobby Jindal was just incredible. Best speech today. #Dream15,634830458950447104,8/21/2015 20:52:30,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,brittany ,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,christopher,brittanychristopher,0
55,"RT @KellyannePolls: TV, the old king of U.S. politics, faces mortality https://t.co/3jrpnwlHAB via @usatoday",682401940840550400,12/31/2015 3:24:35,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,brittany ,-1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,christopher,brittanychristopher,0
56,RT @LorettaLepore: .@CarlyFiorina had some of the best moments of the #GOPDebate. You can watch them all here: https://t.co/jBMG70BX4k #Car,677229617632165888,12/16/2015 20:51:37,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,brittany ,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,christopher,brittanychristopher,0
57,"RT @LTHProject: In our latest video, Elaine explains why @HillaryClinton was the best boss she's ever had: https://t.co/4nwWYQiMua",661556567070916608,11/3/2015 14:52:31,1,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,brittany ,1,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,christopher,brittanychristopher,0
58,RT @megynkelly: .@ChrisStirewalt on @realBenCarson: His closing statement was dynamite. #GOPDebate #KellyFile,664317922664411136,11/11/2015 5:45:09,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,brittany ,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,christopher,brittanychristopher,0
59,RT @mic: A GoFundMe for #Orlando shooting victims has raised nearly $1 million and counting: https://t.co/DrEaN76YjF,742418241381924864,6/13/2016 18:07:56,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,brittany ,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,christopher,brittanychristopher,0
60,"RT @nobarriers2016: Tonight: @POTUS, @timkaine, @VP and so much more. #DemsInPhilly #StrongerTogether https://t.co/BwY2zcjPMf",758526089853489152,7/28/2016 4:54:47,0,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,brittany ,1,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,christopher,brittanychristopher,0
61,"RT @QueenBrry: Ben Carson , vote for him !",659891296304168960,10/30/2015 0:35:19,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,brittany ,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,christopher,brittanychristopher,0
62,"RT @RealBenCarson: Tonight's #SOTU is the perfect example of why we must reform Washington DC, &amp; give the power back to We the People. http",687114250167271424,1/13/2016 3:29:37,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,brittany ,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,christopher,brittanychristopher,0
63,RT @RepRodBlum: Speaking with the @CedarValleyofIA Alliance here in Washington this afternoon. Thanks for visiting! #IA01 http://t.co/HtJ6J,593470750402707456,4/29/2015 17:43:47,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,brittany ,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,christopher,brittanychristopher,0
64,"RT @Rosa_DeLauro: Proud to support @HillaryClinton's #DebtFreeCollege Plan. College needs to be affordable &amp; lead to greater opportunities,",635980740841316352,8/25/2015 1:03:19,1,1,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,brittany ,1,1,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,christopher,brittanychristopher,0
65,"RT @stefcutter: ""When I saw Trump mock someone with a disability, it showed me his soul....his heart."" https://t.co/OyjrRI7RCg",740236276981452800,6/7/2016 17:37:36,-1,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,brittany ,-1,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,christopher,brittanychristopher,0
66,RT @SteveArnold1610: Dr. Ben Carson: Trump And Cruz Are The Status Quo https://t.co/kybhz7AwzP @dailycaller @draftrunbenrun #WinBenWin #C,698283272120377344,2/12/2016 23:11:20,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,brittany ,-1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,christopher,brittanychristopher,0
67,RT @taddevine: Why Bernie Would Crush Trump and Why Every Vote For Hillary Puts Trump Closer to the White House https://t.co/sr6NeARWia,708346734519427072,3/11/2016 17:39:56,-1,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,brittany ,-1,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,christopher,brittanychristopher,0
68,"RT @THETXEMBASSY: @tomborelli  @CR great article 

https://t.co/q0mRlKPvyP

#EPA aka #EnviromentalPornAgency 

#AbolishTheEPA  htt",599651097389629440,5/16/2015 19:02:17,1,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,brittany ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,christopher,brittanychristopher,0
69,"RT @TPCarney: Earlier, I basically accused Cruz of flip-flopping on ethanol. After further review, I think I was wrong: https://t.co/G1QKIa",685110498380099584,1/7/2016 14:47:26,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,brittany ,-1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,christopher,brittanychristopher,0
70,Voters deserve to hear from all the candidates. Sign the petition. http://t.co/vGDmzq76If http://t.co/kv6EvukUfY,624325174335115264,7/23/2015 21:08:15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,brittany ,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,christopher,brittanychristopher,0
71,WATCH: @ChrisChristie: We need a Commander In Chief who respects the military and everyone in uniform https://t.co/9Xn0mb5aTM,664925985230487552,11/12/2015 22:01:23,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,brittany ,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,christopher,brittanychristopher,0
72,We are ready for @CarlyFiorina at the Stone Soup Cafe! #iacaucus https://t.co/4SAog82nPc,686649067640885248,1/11/2016 20:41:09,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,brittany ,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,christopher,brittanychristopher,0
