id,created_at,text,Sentiment....1.negative..0.neutral..1.positive.,Political...0.no..1.yes.,Ideology....1.liberal..0.neutral..1.conservative.,Immigration,Macroeconomic.Policy...Taxes..Gov..Spending..Wall.St...Jobs..Trade..Infrastructure..Labor.,National.Security..Veterans..Military..Foreign.Terrorism.,Crime...Law.Enforcement..Police..Guns..Second.Amendment.,Civil.Rights..Race..LGBT.issues..Abortion..Gender.issues.,Environment...Energy..Global.warming..Fracking..Agriculture..Oil.,Education,Health.Care..Obamacare.,Governance,No.Policy.Content,Asks.for.Donation.Asks.you.to.buy.something.to.support.campaign,Asks.you.to.watch.something.share.something.follow.something,Misc..other.plea.for.action,Makes.a.Factual.or.Verifiable.Claim,Expresses.an.Opinion
7.83706E+17,10/5/16,RT @GenBoykin: #Faith is vital for our fighting men &amp; women and we must always protect their #religiousliberty. #military #ArmedForces #tco,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
7.80884E+17,9/27/16,This election is too important to sit out. Go to https://t.co/tTgeqxNqYm and make sure you're registered. #NationalVoterRegistrationDay -H,0,1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1
7.30905E+17,5/12/16,"""I Saw #Trump's Tax Returns. You Should, Too."" https://t.co/jUfpqZRdvJ",0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
7.9605E+17,11/8/16,"RT @KellyAyotte: In a close race, YOUR VOTE could make the difference! #nhsen #nhpolitics #Election2016 #vote4kellyhttps://t.co/yGG6CJhre",0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
7.38088E+17,6/1/16,The Senate's highest ranking Republican calls on #Trump to release his tax returns: https://t.co/2xfqGV6e19,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA
7.3804E+17,6/1/16,We teach the technique of using OPM ... Other Peoples Money. Trump is a true con-man. https://t.co/4eQdT1svhr,-1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
7.4451E+17,6/19/16,Griffin &amp; Sydney....still making Fatherhood cool after all these years!! https://t.co/QYW4TC3OJj,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
7.85932E+17,10/11/16,RT @johnpodesta: We can fight climate change because our next president has a plan. @HillaryClinton #ImWithHer https://t.co/lazxsPm48W,0,1,-1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1
7.77948E+17,9/19/16,RT @OswaldRachel: .@RandPaul says privileged resolution disapproving of Saudi Arms sale will be introduced and voted on on Wednesday @CQnow,0,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
7.68164E+17,8/23/16,RT @marceelias: Disappointed that split 6th Cir. (2-1) OVERTURNED restoration of Golden Week. Bad for voters. Bad for voting rights. https:,-1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
7.73202E+17,9/6/16,Good decision. https://t.co/jgTq87ZxHw,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
7.55936E+17,7/21/16,You have a choice. You decide. You deserve better. Because America deserves better. #RNCinCLE,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
7.68922E+17,8/25/16,"HRC is using the oldest play in the Dem playbook- when their policies fail, they are left w/this one tired argument!https://t.co/FNbCMmwLTn",-1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
7.31891E+17,5/15/16,RT @jackhunter74: Senator @RandPaul to back bill blocking FBI hacking expansion https://t.co/IQRWJoZrpe via @Reuters,0,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
7.68195E+17,8/23/16,Getting ready for Trump with Austin's finest. #godblesstexas https://t.co/0yZbcZpp0j,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
7.45391E+17,6/21/16,"A proven leader who shares our values."" @AFLCIOWhy labor unions across industries are backing Hillary: https://t.co/y07F7uvqv3",0,1,-1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
7.56149E+17,7/21/16,"""If I were in charge, they would know...waterboarding is how we'd baptize terrorists."" Sarah Palin, Trump supporter https://t.co/IZamSzbE7q",0,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
7.41426E+17,6/11/16,".@realDonaldTrump says hell be the best for women.Don't think so. https://t.co/zsXgf8wQF2",-1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
7.96004E+17,11/8/16,Ronald Reagan was elected Governor 50 years ago today! https://t.co/EgxXDZmFeN,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA
7.45026E+17,6/20/16,Trump may have (yet again) lied about donating to charity. https://t.co/Rzqa4x5FS9,-1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
7.58473E+17,7/28/16,Crooked Hillary is bad. We can't let her take control of the White House. She will never make America great again!,-1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
7.41316E+17,6/10/16,The Hyde Amendment restricts the reproductive rights of low-income womendisproportionately women of color. We need to repeal it now.,0,1,-1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
7.52334E+17,7/11/16,"""Hillary is not somebody who fears the future. She believes that it is ours to shape."" @POTUS https://t.co/cSAdZFNa4G",1,1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
7.91E+17,10/24/16,Hillary Clinton Had Gun Control Supporters Planted In Town Hall Audience' https://t.co/1GVq74iW8a,-1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA
7.68628E+17,8/25/16,We can shape government policy by supporting major ballot initiatives taking place in states throughout the country. https://t.co/DC0Q8HrKFI,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
7.79485E+17,9/24/16,RT @IGNITE_National: Tell a girl to run - for office! #DeclareYourAmbition at https://t.co/Gcthrb8QwO https://t.co/AAIOYi1hFA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
7.66712E+17,8/19/16,RT @ByronYork: Mary Landrieu: 'I want to thank Mr. Trump for coming to LAI hope Sec Clinton will make her way down. I hope Pres Obama will,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
7.41357E+17,6/10/16,.@realDonaldTrump doesnt pay his bills. https://t.co/Ro5iOKu4G9,-1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA
7.86663E+17,10/13/16,"RT @jhseher: Up on #TheLead -- everything politics w/ @SaraMurray, @jeffzeleny, @mkhammer, @JoshuaGreen, @kayleighmcenany, @secupp + @JenGr",0,1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
7.56326E+17,7/22/16,Awkward: @realDonaldTrump invested in outsourcing companies he denounced on the campaign trail. #RNCinCLE https://t.co/giB84yV5z2,-1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA
7.59208E+17,7/30/16,"RT @JuddLegum: Today in Trump:1. Attacked a fire marshal2. Said Hillary should be ""locked up""3. Reminisced about his sexist attacks o",-1,1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
8.16803E+17,1/5/17,"RT @RepThomasMassie: Congress created the Federal Reserve, so it is Congresss responsibility to #AuditTheFedhttps://t.co/ajv5KEivaA",0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
7.55374E+17,7/19/16,"A small business owner sold Donald Trump pianos for his Atlantic City casino.Trump stiffed him for the payment.https://t.co/9LMPenOZue",-1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA
7.67434E+17,8/21/16,"Congrats to Flint, Michigan's @ClaressaShields on her second Olympic gold medal for @TeamUSA. https://t.co/u2RA7GoDiy",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
7.70726E+17,8/30/16,Greetings from future leaders of America at @Georgetown Institute of Politics! @GUPolitics https://t.co/JaivMaepH3,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
7.42385E+17,6/13/16,Our thoughts &amp; prayers are with the victims &amp; families of the Pulse Nightclub shooting in Orlando. #OrlandoUnited https://t.co/lInMkvYlXX,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
8.18587E+17,1/9/17,"As much as I think Obamacare's a mistake, just ignoring the debt to get to Obamacare is also a mistake. https://t.co/imAcw7wV6S",0,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
7.7898E+17,9/22/16,@Cuckerella Get your FREE #CrookedHillary bumper sticker today! https://t.co/fPLtgFtGH7,-1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1
7.34834E+17,5/23/16,.@nytimes: the race to defeat Mr. Trump will continue to be exceedingly well funded. https://t.co/AxzHteR5R5,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
7.91005E+17,10/25/16,RT @SuppliesOvrSeas: Thank you @RandPaul and @Alvarado4Senate for visiting SOS yesterday to learn more about our mission to Deliver a World,1,1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
7.80574E+17,9/27/16,Watch live: Hillary takes the stage for the first presidential debate  https://t.co/FbmDLQp03w #DebateNight,0,1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1
7.74348E+17,9/9/16,"RT @CatsRoundtable: CatsRoundtable listen live 9/11 9:00am EST AM970|https://t.co/pUM74zK5V6 @GovernorPataki - Friends in the Tower",0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1
7.4564E+17,6/22/16,FACT CHECK: DONALD TRUMP WRONGFULLY CLAIMS THAT CLINTONS EMAIL SERVER WAS HACKED https://t.co/sVvqX4EcPL,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA
7.79029E+17,9/22/16,.@realDonaldTrump only cares about himself. https://t.co/5UByvTvJzY https://t.co/q8ApDeEFT5,-1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
7.56563E+17,7/22/16,Time Is Running Out to Abolish Superdelegate Dominance https://t.co/BoPnYpPoy9,0,1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
7.74281E+17,9/9/16,More concerned Hillary Clinton couldn't seem to find Benghazi to send help 4 yrs ago than whether Gary Johnson knows where Aleppo is today.,-1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
7.50398E+17,7/5/16,Looking forward to meeting with @SenBobCorker in a little while. We will be traveling to North Carolina together today.,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
7.78595E+17,9/21/16,Will be speaking with @FoxNews in just a few minutes.,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA
7.76042E+17,9/14/16,Join the fight for a free internet: https://t.co/nJUL6vcmop https://t.co/xGPqRE1wLF,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1
7.82046E+17,10/1/16,"Donald Trump said he has ""great respect"" for women. His actions and words say otherwise. https://t.co/DV0KszUZxM",-1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
7.49595E+17,7/3/16,"A blistering condemnation of the Obama admin's willful ignorance, in regards to the dangers of radical Islam: https://t.co/5AyIlvQOap",-1,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
7.96395E+17,11/9/16,"""We have still have not shattered that highest and hardest glass ceiling. But some day, someone will."" Hillary",1,1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
7.74023E+17,9/8/16,"Let's beat back the assault on voting rightsa blast from the Jim Crow past that must be stopped.We should expand voting rights instead.",0,1,-1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
7.63046E+17,8/9/16,Jim Gray firmly supports coal-hating Hillary Clinton #StandWithRand #GoAwayGray @RandPaul https://t.co/dUj4YZ0RLa,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
7.50344E+17,7/5/16,"We need to fundamentally change the relationship between the U.S. Government and the Native American community.https://t.co/944F5JHtqV",0,1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
7.58388E+17,7/27/16,RT @brianhawkins25: @GovernorPerry makes impassioned plea for #criminaljusticereform @ALEC_states #ALECIndy https://t.co/Wa2LO35Oel,0,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
7.96143E+17,11/9/16,Thank you all for your support! https://t.co/A0V3OlCqzg,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
7.63768E+17,8/11/16,.@ddale8 @GreatAmericaPAC has been running ads for months! Here is an example #TrumpTrain @realdonaldtrump https://t.co/av7aTB9VKe,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
8.19272E+17,1/11/17,"Literally, there are thousands of people who die every single year because they cannot afford the medicine they need. Thats outrageous.",-1,1,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
7.67874E+17,8/22/16,@ShirlsAdams why are you with someone who lied to the American people? You should get on the #TrumpTrain! https://t.co/TC5gq32Atj,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
7.33745E+17,5/20/16,.@HillaryClinton: Child care now costs more than rent. Heres how to fix this crisis. https://t.co/wKjkbDS8kH,0,1,-1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
7.32315E+17,5/16/16,#Trump's hometown tax collector joins the chorus of people calling for him to release his tax returns: https://t.co/YF7vV4VFzx,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA
7.52893E+17,7/12/16,"""We become stronger when black and white, Latino, Asian American, Native Americanall of usstand together. @BernieSanders",0,1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
7.56328E+17,7/22/16,TRUMP LIES ABOUT MINERS AND STEELWORKERS https://t.co/gOzhV97MvA #TrumpLies #RNCinCLE,-1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA
7.64551E+17,8/13/16,We need leadership in the @WhiteHouse!!! Only @realDonaldTrump can provide that!! Watch and RT!!! #TrumpTrain #MAGA https://t.co/0JlMcu4072,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1
7.88912E+17,10/20/16,RT @realDonaldTrump: Ready to lead. Ready to Make America Great Again. #Debate #MAGA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
7.88837E+17,10/19/16,"#Trump in 2016: You can't have a country without borders.in 2013: We must ""leave borders behind.""Which is it? https://t.co/EYTCfonf2B",-1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
7.89206E+17,10/20/16,"RT @nobarriers2016: ""There is only one way we lose this election. If we don't turn out to vote."" https://t.co/7KuswDiilb #StrongerTogether",0,1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
7.52896E+17,7/12/16,Taking on systemic racism and rebuilding trust and respect between law enforcement and the communities they serve will require all of us.,0,1,-1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
7.37813E+17,6/1/16,"RT @CR: Conservative Icon Given Prestigious Teaching Award at Ivy League School https://t.co/PJh9eeTb4Q@NateMadden_IV .",0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA
7.88051E+17,10/17/16,Does this seem presidential to anyone? https://t.co/TEl2OPXj8A,-1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
7.37731E+17,5/31/16,Court documents showed they could not determine whether some instructors even graduated high school. https://t.co/NIMukJhTKp,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA
7.76892E+17,9/16/16,#NateSilver Election Update: Democrats Should Panic  If The Polls Still Look Like This In A Week https://t.co/HnffRCkdc7,-1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
7.51465E+17,7/8/16,RT @GovernorPataki: A great American. Rest in Peace Peter.  https://t.co/hX5ccIUBJM,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
8.1411E+17,12/28/16,"Funny how the entertainment industry hates blacklists, except when they target conservatives.",-1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
7.94253E+17,11/3/16,"RT @coloradodems: ""Colorado, the choice could not be clearer""@MartinOMalley. Sing it proud Martin! https://t.co/WE1lrGQUjj https://t.co/is",1,1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
7.3303E+17,5/18/16,"ICYMI: Graham questions @HCSInfo Charles Hucks about Horry County, SC Ransomware Attack.  https://t.co/VSyb8elLwl",0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
8.02175E+17,11/25/16,The only gae that atters each year atters even ore this year. Let's have a little fun before our Buckeyes battl https://t.co/tXYUsndRXF,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
7.47607E+17,6/28/16,"RT @glennbeck: Colorado Conservative Darryl Glenn Endorsed by Ted Cruz for U.S. Senatehttps://t.co/nOPKrV8oi7",0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA
7.83671E+17,10/5/16,RT @realDonaldTrump: Mike Pence won big. We should all be proud of Mike!,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
7.94577E+17,11/4/16,RT @TeamTrump: Mrs. Saucier's son is in prison for having classified info on an unsecured device. @HillaryClinton did FAR WORSE &amp; is runnin,-1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
7.40968E+17,6/9/16,RT @TheRenodoc: Sen. Rand Paul endorses @Jen_Terhune in AD25  https://t.co/ZsFzoDEcKO  @RalstonReports @SteveSebelius @ChuckMuth @KRNV @KOL,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA
7.38814E+17,6/3/16,RT @igorvolsky: Paul Ryan must be feeling really good about himself tonight  https://t.co/CQHqa6dKu8,-1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
7.82739E+17,10/3/16,.@HillaryClinton could transform early education in the United States (via @bi_politics) https://t.co/ft0ARVbTEa,0,1,-1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1
7.53296E+17,7/13/16,Further proof that they dont have the American peoples best interests at heart https://t.co/z0dAU6FISz,-1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
7.91728E+17,10/27/16,ICYMI: My closing statement from last night's debate. https://t.co/nOVGVDmieC,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1
7.83414E+17,10/4/16,"If Mr. Trump wanted to defend his tax practices, he could simply release his returns. He sure could. https://t.co/bO6iqyAWtL",-1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
7.42435E+17,6/13/16,RT @CNN: Here are ways you can help the victims and their families after the #Orlando mass shooting https://t.co/a6bZY1kSNN https://t.co/mm,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1
8.00368E+17,11/20/16,RT @FaceTheNation: .@RandPaul: Trump understands that the Iraq war was a mistake. I want people that agree with him to run the state depart,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
7.74978E+17,9/11/16,#NeverForget the brave men and women who died on 9/11 and those who still sacrifice to this day to protect and defend us.,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
7.54029E+17,7/15/16,That time @mike_pence killed a preschool pilot program for apparently no reason: https://t.co/iDGHe4Eku3 #FBF,-1,1,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1
7.648E+17,8/14/16,The failing @nytimes talks about anonymous sources and meetings that never happened. Their reporting is fiction. The media protects Hillary!,-1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
7.75658E+17,9/13/16,#News Trumps Blue Collar Base Wants More Jobs And An America Like The Past https://t.co/ZmOUoVw1Yb,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
7.71845E+17,9/2/16,How the Press is Making the @ClintonFdn into the New Benghazi: https://t.co/7yctRz3JG6,0,1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
7.55526E+17,7/19/16,"So much for that post-2012 @GOP autopsy, @Reince. https://t.co/jYir6AsexY",-1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
7.77985E+17,9/19/16,"""Wisconsin's attempt to tie food to jobs pays off""https://t.co/yaDhK3NN7j",1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
7.83416E+17,10/4/16,Ohio is stronger thanks to the dedication and service of our veterans.   Congratulations to this years Hall of Fam https://t.co/GnLdbD20Ij,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
7.41274E+17,6/10/16,Thanks for the helpwe're doing our best to document every lie: https://t.co/5eFlPSizXQ @nytegan,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
7.94237E+17,11/3/16,Dont miss out! Join them: https://t.co/3TKJ4H68Kz https://t.co/xT4ER9Dmrk,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1
7.5845E+17,7/27/16,"Thank you, Christine. We're all standing by your side. https://t.co/7WimmvECqU",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
7.58437E+17,7/27/16,"""Middle-class families fighting to give your kids a better life: Democrats stand in your corner."" @SenatorReid #DemsInPhilly",0,1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
7.46084E+17,6/23/16,"RT @NBCNightlyNews: TONIGHT: @LesterHoltNBC presses Trump on evidence for Clinton server hack claim: ""I will report back to you.""https://t",0,1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA
7.77511E+17,9/18/16,@FemalesForTrump you should join the #TrumpTrain. Sign up today! https://t.co/rpkYQB91Ru,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1
